handle,title,variant_id,variant_title,ngn_amount_minor,cad_amount_minor
oil-no-44,Impact Oil No. 44,variant_01KRXZNK87K14FVV3PYA2F39RC,Impact Oil No. 44 - 12ml,2500000,2750
oil-no-45,Impact Oil No. 45,variant_01KRXZNKMB5ENF5JD620WCZX3C,Impact Oil No. 45 - 12ml,2500000,2750
oil-no-46,Impact Oil No. 46,variant_01KRXZNKZSBDWH1W9QFVX03B0D,Impact Oil No. 46 - 12ml,2500000,2750
oil-no-47,Impact Oil No. 47,variant_01KRXZNMCW0R3J0DEJ0VPHF49A,Impact Oil No. 47 - 12ml,2500000,2750
oil-no-48,Impact Oil No. 48,variant_01KRXZNMSBNJNVX4YK44EZRCWK,Impact Oil No. 48 - 12ml,2500000,2750
oil-no-49,Impact Oil No. 49,variant_01KRXZNN4FVZW0X04YN8VCGCYM,Impact Oil No. 49 - 12ml,2500000,2750
oil-no-50,Impact Oil No. 50,variant_01KRXZNNFEMR1G4BAEF61MFPNN,Impact Oil No. 50 - 12ml,2500000,2750
car-diffusers,Car Diffusers,variant_01KR19C9PYD07PC9NKTQS0HTA8,Standard,0,
discovery-set,Discovery Set,variant_01KQX7EQKBR158GRRFE1Q6J1J6,Discovery Set - 10 x 5ml,2500000,
enigma,Enigma,variant_01KRE6C98CMCHJ6ZPC28ZA0X4N,Enigma — 100ml EDP,8000000,8800
oils,Impact Oils,variant_01KR19C9B81Y096ZJ2JAPZW8WK,Standard,0,
oud-osmosis-unlimited,OUD Osmosis Unlimited,variant_01KRE6C9TA6BE3HKGJ3F5FS5S0,OUD Osmosis Unlimited — 100ml EDP,10000000,11000
reed-diffusers,Reed Diffusers,variant_01KR19C9ZN9XPZNYHMZ0K5QMJW,Standard,0,
royale-silver,Royale Silver,variant_01KRE6CABYSEKJ5TDGCZAVZ53A,Royale Silver — 100ml EDP,8000000,8800
sensual,Sensual,variant_01KR2GZSDFF4BD3FSZ5KC0K2ER,Default variant,60000,
solid-oud,Solid OUD,variant_01KRE6CB02167FFAMHXJYA5X4Q,Solid OUD — 100ml EDP,10000000,11000
